fold,baseline_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series
combined,croston_sba,day_1_daily,1,daily,dept_id,FOODS_3,1.6503330417028237,2.944194597219072,0.646275458315686,-0.0274910095599834,-14.102887904271483,1310.0,1295.8971120957285,513,0.5737034911927549,513,0
combined,last_value,day_1_daily,1,daily,dept_id,FOODS_3,1.6159844054580896,2.8921484085630866,0.632824427480916,-0.005847953216374269,-3.0,1310.0,1307.0,513,0.5862486876925388,513,0
combined,mean_28,day_1_daily,1,daily,dept_id,FOODS_3,1.5239487630451283,2.8383782551249173,0.596782988887138,0.08173209673509031,41.92856562510133,1310.0,1351.9285656251013,513,0.5189886640031547,513,0
combined,seasonal_naive_7,day_1_daily,1,daily,dept_id,FOODS_3,1.713450292397661,3.0470642247684157,0.6709923664122137,0.17348927875243664,89.0,1310.0,1399.0,513,0.6224520117236495,513,0
combined,zero,day_1_daily,1,daily,dept_id,FOODS_3,2.5536062378167643,5.437219218176762,1.0,-2.5536062378167643,-1310.0,1310.0,0.0,513,0.7137090277037499,513,0
combined,croston_sba,day_1_daily,1,daily,intermittency_class,highly_intermittent,0.4192755278199911,0.7495914338649166,1.481440198297302,-0.02615934248381066,-1.386445151641965,15.0,13.613554848358035,53,0.5712374962907113,53,0
combined,last_value,day_1_daily,1,daily,intermittency_class,highly_intermittent,0.33962264150943394,0.8467473838610141,1.2,-0.11320754716981132,-6.0,15.0,9.0,53,0.4761803826721534,53,0
combined,mean_28,day_1_daily,1,daily,intermittency_class,highly_intermittent,0.3780323458870627,0.6714049161228316,1.3357142888009548,-0.03706199345442484,-1.9642856530845165,15.0,13.035714346915483,53,0.5381255867648683,53,0
combined,seasonal_naive_7,day_1_daily,1,daily,intermittency_class,highly_intermittent,0.33962264150943394,0.8241633836921342,1.2,0.07547169811320754,4.0,15.0,19.0,53,0.48803195260162896,53,0
combined,zero,day_1_daily,1,daily,intermittency_class,highly_intermittent,0.2830188679245283,0.835531691527718,1.0,-0.2830188679245283,-15.0,15.0,0.0,53,0.3956851426452306,53,0
combined,croston_sba,day_1_daily,1,daily,intermittency_class,intermittent,0.8244504058634183,1.3410084837723866,0.9302045155160558,0.16329060646158636,70.37825138494372,382.0,452.3782513849437,431,0.5156215282907555,431,0
combined,last_value,day_1_daily,1,daily,intermittency_class,intermittent,0.8723897911832946,1.668599034465448,0.9842931937172775,0.09744779582366589,42.0,382.0,424.0,431,0.5694918443830576,431,0
combined,mean_28,day_1_daily,1,daily,intermittency_class,intermittent,0.7234835894886413,1.2623425751599922,0.8162864582973937,0.11460059366065775,49.39285586774349,382.0,431.3928558677435,431,0.4574961556009753,431,0
combined,seasonal_naive_7,day_1_daily,1,daily,intermittency_class,intermittent,0.9071925754060325,1.505596674314757,1.0235602094240839,0.09976798143851508,43.0,382.0,425.0,431,0.598066271733357,431,0
combined,zero,day_1_daily,1,daily,intermittency_class,intermittent,0.8863109048723898,2.6939822945313243,1.0,-0.8863109048723898,-382.0,382.0,0.0,431,0.4624702956972287,431,0
combined,croston_sba,day_1_daily,1,daily,intermittency_class,regular,2.390316865550211,3.795604885781212,0.6746077449585398,0.021511984057724476,8.948985368013382,1474.0,1482.9489853680134,416,0.5985878050591487,416,0
combined,last_value,day_1_daily,1,daily,intermittency_class,regular,2.295673076923077,3.558238003887274,0.6478968792401628,-0.021634615384615384,-9.0,1474.0,1465.0,416,0.63842384422715,416,0
combined,mean_28,day_1_daily,1,daily,intermittency_class,regular,2.0307348964091103,3.3567620124453734,0.5731246383352713,0.04773350371620976,19.85713754594326,1474.0,1493.8571375459433,416,0.5455581183001327,416,0
combined,seasonal_naive_7,day_1_daily,1,daily,intermittency_class,regular,2.4591346153846154,4.0498694185976305,0.6940298507462687,0.19471153846153846,81.0,1474.0,1555.0,416,0.6763456444064033,416,0
combined,zero,day_1_daily,1,daily,intermittency_class,regular,3.543269230769231,6.126079182792706,1.0,-3.543269230769231,-1474.0,1474.0,0.0,416,0.8824794616516805,416,0
combined,croston_sba,day_1_daily,1,daily,overall,all,1.524368382189423,2.748333108629289,0.7332611138270875,0.08660087955701683,77.94079160131514,1871.0,1948.9407916013151,900,0.5572455476681436,900,0
