fold,model_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series,evaluation_split
combined,mean_28,day_1_daily,1,daily,store_id,CA_1,1.4814285852387548,2.9463773884426723,0.5840060125776957,-0.1297619064773122,-38.92857194319368,761.0,722.0714280568063,300,0.5084207854077644,300,0,validation
combined,mean_28,day_1_daily,1,daily,store_id,TX_2,1.2763095262646675,2.314804664113133,0.5899735868711868,-0.0327381050089995,-9.821431502699852,649.0,639.1785684973001,300,0.4963635283625581,300,0,validation
combined,mean_28,day_1_daily,1,daily,store_id,WI_3,1.1644047495226066,1.988535359537452,0.7577471255027808,0.3867857040216525,116.03571120649576,461.0,577.0357112064958,300,0.5040612741477228,300,0,validation
combined,mean_28,days_1_7_aggregate,7,aggregate,demand_band,high,8.107744066000787,13.11214892764306,0.2523315506237277,1.0774410389087818,319.9999885559082,9543.0,9862.999988555908,297,0.7073143429750134,297,0,validation
combined,mean_28,days_1_7_aggregate,7,aggregate,demand_band,low,2.071548819943309,3.0241382978074296,0.5080511969638009,0.0648148099982778,19.249998569488525,1211.0,1230.2499985694883,297,0.6463665478611524,297,0,validation
combined,mean_28,days_1_7_aggregate,7,aggregate,demand_band,medium,3.138071882958505,4.442235436878431,0.4341094015304262,0.858660121369206,262.74999713897705,2212.0,2474.749997138977,306,0.6509266614032644,306,0,validation
combined,mean_28,days_1_7_aggregate,7,aggregate,dept_id,FOODS_1,4.522222211625841,7.013875029354038,0.3102134139072604,-0.4777778095669217,-64.50000429153442,1968.0,1903.4999957084656,135,0.7237704349778938,135,0,validation
combined,mean_28,days_1_7_aggregate,7,aggregate,dept_id,FOODS_2,3.375000011353266,5.023802483461606,0.458243536024258,1.369047619047619,345.0,1856.0,2201.0,252,0.7124476240100758,252,0,validation
combined,mean_28,days_1_7_aggregate,7,aggregate,dept_id,FOODS_3,4.917153960780094,9.55297118681586,0.2759243034215913,0.6267056307132713,321.4999885559082,9142.0,9463.499988555908,513,0.6315418576904199,513,0,validation
combined,mean_28,days_1_7_aggregate,7,aggregate,intermittency_class,highly_intermittent,1.0047169811320755,1.2862663534725114,0.6191860465116279,0.0990566037735849,5.25,86.0,91.25,53,0.5951969248352807,53,0,validation
combined,mean_28,days_1_7_aggregate,7,aggregate,intermittency_class,intermittent,2.622389767949929,4.0380476653987225,0.4081798447043769,0.5817865174773674,250.74998903274536,2769.0,3019.7499890327454,431,0.6606966982738068,431,0,validation
combined,mean_28,days_1_7_aggregate,7,aggregate,intermittency_class,regular,6.7307692147218265,11.25554079986273,0.2769261194070102,0.8317307577683375,345.9999952316284,10111.0,10456.999995231628,416,0.6849064158544701,416,0,validation
combined,mean_28,days_1_7_aggregate,7,aggregate,overall,all,4.426111092567444,8.152530243544,0.3072265913397115,0.6688888714048598,601.9999842643738,12966.0,13567.999984264374,900,0.6680297588530447,900,0,validation
combined,mean_28,days_1_7_aggregate,7,aggregate,store_id,CA_1,4.719999993642171,8.63717737418826,0.276562499627471,-0.218333355585734,-65.50000667572021,5120.0,5054.49999332428,300,0.6586331305835831,300,0,validation
combined,mean_28,days_1_7_aggregate,7,aggregate,store_id,TX_2,4.039166668256124,6.880119294065216,0.2804976852955642,0.5141666491826375,154.24999475479126,4320.0,4474.249994754791,300,0.6325015976588838,300,0,validation
combined,mean_28,days_1_7_aggregate,7,aggregate,store_id,WI_3,4.5191666158040364,8.800816645172238,0.3845008464949548,1.7108333206176758,513.2499961853027,3526.0,4039.249996185303,300,0.7129545483166669,300,0,validation
combined,mean_28,days_1_7_daily,7,daily,demand_band,high,2.4283996347253742,4.054791622353233,0.5290414796808187,0.1539201365605519,319.9999639093876,9543.0,9862.999963909388,2079,0.6755162967407654,297,0,validation
combined,mean_28,days_1_7_daily,7,daily,demand_band,low,0.6447296090219788,0.9825029942977794,1.1068479415001602,0.0092592582056418,19.249997809529305,1211.0,1230.2499978095293,2079,0.6424962353893386,297,0,validation
combined,mean_28,days_1_7_daily,7,daily,demand_band,medium,0.9425270079915958,1.38284515727935,0.9127002039412287,0.1226657295076091,262.7499926052988,2212.0,2474.7499926052988,2142,0.6158709024003692,306,0,validation
combined,mean_28,days_1_7_daily,7,daily,dept_id,FOODS_1,1.4736961424311317,2.657275122006732,0.7076437269295831,-0.0682539718373427,-64.50000338628888,1968.0,1903.4999966137111,945,0.744289252793401,135,0,validation
combined,mean_28,days_1_7_daily,7,daily,dept_id,FOODS_2,0.940557172372008,1.4386865486884497,0.8939347263277059,0.1955782303485233,344.99999833479524,1856.0,2200.9999983347952,1764,0.5987941954427816,252,0,validation
combined,mean_28,days_1_7_daily,7,daily,dept_id,FOODS_3,1.4915463219735738,2.888466556764289,0.5858830499023303,0.089529367690256,321.4999593757093,9142.0,9463.49995937571,3591,0.6404113680281945,513,0,validation
combined,mean_28,days_1_7_daily,7,daily,intermittency_class,highly_intermittent,0.3474201009460697,0.5220171696598045,1.4987541564068825,0.0141509445509659,5.250000428408384,86.0,91.25000042840838,371,0.6241920724630394,53,0,validation
combined,mean_28,days_1_7_daily,7,daily,intermittency_class,intermittent,0.779901981104337,1.3383830193658992,0.849752357165686,0.0831123603162759,250.74999107420444,2769.0,3019.7499910742044,3017,0.6149231715707998,431,0,validation
combined,mean_28,days_1_7_daily,7,daily,intermittency_class,regular,2.0350519967122147,3.455919679154241,0.5861014157280159,0.1188186685513746,345.9999628216028,10111.0,10456.999962821605,2912,0.6773849793019184,416,0,validation
combined,mean_28,days_1_7_daily,7,daily,overall,all,1.3345918331537692,2.528707621543472,0.6484597060673103,0.095555548305431,601.9999543242157,12966.0,13567.999954324216,6300,0.64434024241906,900,0,validation
combined,mean_28,days_1_7_daily,7,daily,store_id,CA_1,1.5192857146990442,3.050663482297807,0.6231445314195299,-0.0311904779058836,-65.50000360235572,5120.0,5054.499996397644,2100,0.6734539957169717,300,0,validation
combined,mean_28,days_1_7_daily,7,daily,store_id,TX_2,1.2919557807310706,2.2927987278012902,0.6280340600776038,0.0734523711814766,154.24997948110104,4320.0,4474.249979481101,2100,0.6280434847159125,300,0,validation
combined,mean_28,days_1_7_daily,7,daily,store_id,WI_3,1.1925340040311927,2.1493285038177694,0.710244301890387,0.2444047516407001,513.2499784454703,3526.0,4039.2499784454703,2100,0.6315232468242953,300,0,validation
combined,mean_28,days_1_30_aggregate,30,aggregate,demand_band,high,36.60509915143151,65.23933011889731,0.2493283746439583,-4.49158359938599,-1334.0003290176392,43604.0,42269.99967098236,297,1.3627325583621932,297,0,validation
combined,mean_28,days_1_30_aggregate,30,aggregate,demand_band,low,6.970418377757474,10.233505849747326,0.3820993462890309,-0.4898990557249949,-145.5000195503235,5418.0,5272.4999804496765,297,1.0419822386190296,297,0,validation
combined,mean_28,days_1_30_aggregate,30,aggregate,demand_band,medium,10.860644135210247,15.786390614982578,0.3048671778161945,-0.963818924489364,-294.9285908937454,10901.0,10606.071409106256,306,1.0765736392688965,306,0,validation
combined,mean_28,days_1_30_aggregate,30,aggregate,dept_id,FOODS_1,15.63068850570255,24.59964970579577,0.2652599557850212,1.5026455057991877,202.85714328289032,7955.0,8157.85714328289,135,1.2320325508810608,135,0,validation
combined,mean_28,days_1_30_aggregate,30,aggregate,dept_id,FOODS_2,16.679138285300088,42.36942378645236,0.383148846663229,-6.099773279731235,-1537.1428664922714,10970.0,9432.857133507729,252,1.2057637651589777,252,0,validation
combined,mean_28,days_1_30_aggregate,30,aggregate,dept_id,FOODS_3,19.399610166428847,40.40167324845049,0.2427435488408702,-0.8579789790493703,-440.14321625232697,40998.0,40557.85678374767,513,1.1178459359272903,513,0,validation
combined,mean_28,days_1_30_aggregate,30,aggregate,intermittency_class,highly_intermittent,4.076819350134652,5.8147418278355785,0.520654037487076,-0.4514824062023522,-23.92856752872467,415.0,391.0714324712753,53,1.1100490828456624,53,0,validation
combined,mean_28,days_1_30_aggregate,30,aggregate,intermittency_class,intermittent,9.34554186663882,15.092461337866183,0.2958666479007883,-1.5596620190171244,-672.2143301963806,13614.0,12941.78566980362,431,1.089964754406643,431,0,validation
combined,mean_28,days_1_30_aggregate,30,aggregate,intermittency_class,regular,28.89732173429085,55.28505373388657,0.2619358923054211,-2.5920337541745258,-1078.2860417366028,45894.0,44815.7139582634,416,1.2380394658163991,416,0,validation
combined,mean_28,days_1_30_aggregate,30,aggregate,overall,all,18.072539790603848,39.03622343071313,0.2714364402907642,-1.971587710513009,-1774.428939461708,59923.0,58148.57106053829,900,1.159590920355228,900,0,validation
combined,mean_28,days_1_30_aggregate,30,aggregate,store_id,CA_1,18.10190519134204,33.226981012272034,0.242306423228744,-2.499524060487748,-749.8572181463242,22412.0,21662.14278185368,300,1.1510158669049668,300,0,validation
combined,mean_28,days_1_30_aggregate,30,aggregate,store_id,TX_2,17.749762042363486,39.07440286700812,0.2698625893325079,-1.8554767592748007,-556.6430277824402,19732.0,19175.35697221756,300,1.1074365308030416,300,0,validation
combined,mean_28,days_1_30_aggregate,30,aggregate,store_id,WI_3,18.365952138106028,44.05268428364531,0.3099041364211602,-1.5597623117764792,-467.9286935329437,17779.0,17311.071306467056,300,1.220320363357677,300,0,validation
combined,mean_28,days_1_30_daily,30,daily,demand_band,high,2.722623059344212,4.526682981045078,0.5563382134381462,-0.1497194337456849,-1334.0001546740532,43604.0,42269.99984532595,8910,0.7641220233085735,297,0,validation
combined,mean_28,days_1_30_daily,30,daily,demand_band,low,0.6634519798152241,1.0137424946194882,1.0910589036828435,-0.0163299673835837,-145.50000938773155,5418.0,5272.499990612268,8910,0.7165487052943479,297,0,validation
combined,mean_28,days_1_30_daily,30,daily,demand_band,medium,1.0127917818359884,1.4772436251674883,0.8528968495784216,-0.0321272988148309,-294.9286031201482,10901.0,10606.071396879852,9180,0.7274518573892176,306,0,validation
combined,mean_28,days_1_30_daily,30,daily,dept_id,FOODS_1,1.475185187022995,2.565717746674516,0.7510370845308775,0.0500881798381422,202.85712834447625,7955.0,8157.857128344476,4050,0.8087256193073223,135,0,validation
combined,mean_28,days_1_30_daily,30,daily,dept_id,FOODS_2,1.1810846552134506,2.4506688028845884,0.8139471279319678,-0.2033257756983398,-1537.142864279449,10970.0,9432.857135720553,7560,0.7119901668707999,252,0,validation
combined,mean_28,days_1_30_daily,30,daily,dept_id,FOODS_3,1.5960920828660252,3.012845739928462,0.5991476939194138,-0.0285992872805042,-440.14303124696016,40998.0,40557.85696875304,15390,0.7285769865462731,513,0,validation
combined,mean_28,days_1_30_daily,30,daily,intermittency_class,highly_intermittent,0.3799640616484033,0.5971805674463199,1.4557659229420754,-0.0150494148380726,-23.928569592535496,415.0,391.0714304074645,1590,0.7595917096228761,53,0,validation
combined,mean_28,days_1_30_daily,30,daily,intermittency_class,intermittent,0.8537785873877293,1.4881366490350392,0.8108827041959261,-0.0519887334855139,-672.2143239676952,13614.0,12941.785676032305,12930,0.7276239585989821,431,0,validation
combined,mean_28,days_1_30_daily,30,daily,intermittency_class,regular,2.229475734232423,3.8247045695875,0.6062635020530057,-0.0864011116684056,-1078.2858736217022,45894.0,44815.7141263783,12480,0.7415749711297945,416,0,validation
combined,mean_28,days_1_30_daily,30,daily,overall,all,1.4617539687468497,2.8005500074317324,0.6586345335875197,-0.0657195839697012,-1774.428767181933,59923.0,58148.57123281807,27000,0.735954971951298,900,0,validation
combined,mean_28,days_1_30_daily,30,daily,store_id,CA_1,1.5961507975202467,3.031157751899124,0.640967212996708,-0.0833174620328678,-749.8571582958102,22412.0,21662.14284170419,9000,0.7412164497539989,300,0,validation
combined,mean_28,days_1_30_daily,30,daily,store_id,TX_2,1.398198413413432,2.5682669617311147,0.637734934153704,-0.0618492161201106,-556.6429450809956,19732.0,19175.357054919004,9000,0.7097649082720963,300,0,validation
combined,mean_28,days_1_30_daily,30,daily,store_id,WI_3,1.390912695306871,2.7830430339396326,0.7041011450453815,-0.0519920737561252,-467.9286638051272,17779.0,17311.071336194873,9000,0.7568835578277987,300,0,validation
validation_fold_1,mean_28,day_1_daily,1,daily,demand_band,high,2.623376635589985,4.436111721260891,0.4508928592420286,-1.5353535720796296,-152.00000363588333,576.0,423.9999963641167,99,0.6076985440408827,99,0,validation
validation_fold_1,mean_28,day_1_daily,1,daily,demand_band,low,0.5869408355216787,0.8144347440370877,0.8421325031397999,-0.1194083687632975,-11.821428507566452,69.0,57.17857149243355,99,0.5021827511909898,99,0,validation
validation_fold_1,mean_28,day_1_daily,1,daily,demand_band,medium,1.011904763057828,1.706638520054891,0.8063616080617066,-0.1477591013718469,-15.071428339928389,128.0,112.9285716600716,102,0.5025592013006255,102,0,validation
validation_fold_1,mean_28,day_1_daily,1,daily,dept_id,FOODS_1,1.6095238166550796,2.977333128598858,0.5571428596113737,-0.9396825604140758,-42.28571521863341,130.0,87.71428478136659,45,0.6898565087729543,45,0,validation
validation_fold_1,mean_28,day_1_daily,1,daily,dept_id,FOODS_2,0.7942176856810138,1.17683079728075,0.7668308689333927,0.050170064859447,4.21428544819355,87.0,91.21428544819356,84,0.4483487465557449,84,0,validation
validation_fold_1,mean_28,day_1_daily,1,daily,dept_id,FOODS_3,1.6484962463466049,3.240592513361505,0.5070015433907723,-0.8235171386721538,-140.8214307129383,556.0,415.1785692870617,171,0.5405523342406646,171,0,validation
