fold,model_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series,mean_28_mae,mean_28_rmse,mean_28_wape,mean_28_bias,mean_28_aggregate_bias,mean_28_actual_sum,mean_28_forecast_sum,mean_28_observations,mean_28_rmsse,mean_28_rmsse_defined_series,mean_28_rmsse_undefined_series,zero_mae,zero_rmse,zero_wape,zero_bias,zero_aggregate_bias,zero_actual_sum,zero_forecast_sum,zero_observations,zero_rmsse,zero_rmsse_defined_series,zero_rmsse_undefined_series,mae_improvement_vs_mean_28_pct,mae_improvement_vs_zero_pct,rmse_improvement_vs_mean_28_pct,rmse_improvement_vs_zero_pct,wape_improvement_vs_mean_28_pct,wape_improvement_vs_zero_pct,rmsse_improvement_vs_mean_28_pct,rmsse_improvement_vs_zero_pct,absolute_bias_improvement_vs_mean_28_pct
combined,ridge_global_v1,day_1_daily,1,daily,demand_band,high,2.2022803660595054,3.478485840424304,0.4743127401883054,-0.20634530329142356,-61.284555077552795,1379.0,1317.7154449224472,297,0.5017830494660228,297,0,2.454545459261647,3.95012673661562,0.5286439459033424,0.101010083650499,29.999994844198227,1379.0,1408.9999948441982,297,0.5527256250348582,297,0,4.643097643097643,7.628362812027178,1.0,-4.643097643097643,-1379.0,1379.0,0.0,297,0.9733314851269428,297,0,10.277466740340003,52.56872598116946,11.939892758868982,54.40062401148532,10.277466740340005,52.568725981169464,9.216611870604455,48.446849081371305,-104.28188536640637
combined,ridge_global_v1,day_1_daily,1,daily,demand_band,low,0.5222988815018625,0.824327638405349,0.9288788491380429,-0.08758694916863233,-26.0133239030838,167.0,140.9866760969162,297,0.4392268476621357,297,0,0.5631313133821745,0.7926987422493798,1.0014970064341664,0.029461278407662,8.749999687075615,167.0,175.7499996870756,297,0.474239206574189,297,0,0.5622895622895623,1.084012995809633,1.0,-0.5622895622895623,-167.0,167.0,0.0,297,0.447790649180151,297,0,7.25096099434993,7.112115086195702,-3.9900272916061823,23.955926580965844,7.250960994349922,7.112115086195714,7.3828478174497,1.9124565315721833,-197.29514095306055
combined,ridge_global_v1,day_1_daily,1,daily,demand_band,medium,0.9324393311357186,1.4113810672687856,0.8779274933154766,-0.07165541212543164,-21.92655611038208,325.0,303.0734438896179,306,0.4952011561919011,306,0,0.9163165255967114,1.3734811284029045,0.8627472517925959,0.0932539648017267,28.535713229328397,325.0,353.5357132293284,306,0.4825003966912631,306,0,1.062091503267974,1.934381054849193,1.0,-1.062091503267974,-325.0,325.0,0.0,306,0.540307817528088,306,0,-1.7595236022299137,12.207250668452355,-2.7594073250901916,27.03707143271113,-1.7595236022299137,12.20725066845234,-2.6322795976403723,8.348326615474525,23.16100202518696
combined,ridge_global_v1,day_1_daily,1,daily,dept_id,FOODS_1,1.3930394932075782,2.445799201435896,0.6418441350956419,-0.28447443114386667,-38.404048204422,293.0,254.595951795578,135,0.5654322089852453,135,0,1.440211642919867,2.628086857243167,0.6635787433248534,-0.1560846596680305,-21.07142905518413,293.0,271.9285709448159,135,0.5918748454071918,135,0,2.1703703703703705,4.311053836962047,1.0,-2.1703703703703705,-293.0,293.0,0.0,135,0.7702164759711791,135,0,3.2753623360975306,35.81558649043582,6.936135132097135,43.26679058224371,3.2753623360975346,35.81558649043581,4.4676060533971205,26.587884494124577,-82.25649576896451
combined,ridge_global_v1,day_1_daily,1,daily,dept_id,FOODS_2,0.8453258190836225,1.2587411219121678,0.7948586060040033,-0.04062612283797491,-10.237782955169678,268.0,257.7622170448303,252,0.42008390891673975,252,0,0.7953514725058561,1.1491333029809327,0.7478678025055066,0.1842403618677977,46.42857119068504,268.0,314.42857119068503,252,0.4226563000469219,252,0,1.0634920634920637,2.0911757154806176,1.0,-1.0634920634920637,-268.0,268.0,0.0,252,0.4654583753359877,252,0,-6.283303458320859,20.514139399599692,-9.538303227911388,39.80701322256558,-6.2833034583208605,20.514139399599674,0.6086248164043861,9.748340307872802,77.94939044511521
combined,ridge_global_v1,day_1_daily,1,daily,dept_id,FOODS_3,1.35174275606464,2.4968555345871484,0.5293465907337102,-0.11809474450570566,-60.582603931427,1310.0,1249.417396068573,513,0.4850233917773066,513,0,1.5239487630451285,2.8383782551249173,0.596782988887138,0.0817320967350903,41.92856562510133,1310.0,1351.928565625101,513,0.5189886640031547,513,0,2.5536062378167643,5.437219218176762,1.0,-2.5536062378167643,-1310.0,1310.0,0.0,513,0.7137090277037499,513,0,11.299986663356671,47.065340926628984,12.032318804624525,54.07844645586301,11.299986663356657,47.065340926628984,6.544511389489935,32.04185838340935,-44.490046411599856
combined,ridge_global_v1,day_1_daily,1,daily,intermittency_class,highly_intermittent,0.34028520224229347,0.6354111650115151,1.20234104792277,-0.0893058956794019,-4.733212471008301,15.0,10.2667875289917,53,0.4856135183697178,53,0,0.3780323458870627,0.6714049161228316,1.3357142888009548,-0.0370619934544248,-1.9642856530845163,15.0,13.035714346915483,53,0.5381255867648683,53,0,0.2830188679245283,0.835531691527718,1.0,-0.2830188679245283,-15.0,15.0,0.0,53,0.3956851426452306,53,0,9.98516239561315,-20.23410479227703,5.360960315746568,23.951278993414952,9.985162395613159,-20.23410479227701,9.75832959567029,-22.727256101479792,-140.96355148629965
combined,ridge_global_v1,day_1_daily,1,daily,intermittency_class,intermittent,0.6936825403204651,1.2255037024921667,0.7826627614610482,-0.058305658763080075,-25.129738926887512,382.0,356.8702610731125,431,0.4463539514051243,431,0,0.7234835894886413,1.2623425751599922,0.8162864582973937,0.1146005936606577,49.39285586774349,382.0,431.3928558677435,431,0.4574961556009753,431,0,0.8863109048723898,2.6939822945313243,1.0,-0.8863109048723898,-382.0,382.0,0.0,431,0.4624702956972287,431,0,4.119105063494208,21.733723853895178,2.9182943990585475,54.509585865508846,4.1191050634942075,21.73372385389518,2.435474934475545,3.4848387976588,49.12272537110219
combined,ridge_global_v1,day_1_daily,1,daily,intermittency_class,regular,1.8690244741737843,2.9969242067386728,0.5274858760219092,-0.19077279733923766,-79.36148369312286,1474.0,1394.6385163068771,416,0.5117678454629357,416,0,2.0307348964091103,3.356762012445373,0.5731246383352713,0.0477335037162097,19.85713754594326,1474.0,1493.8571375459433,416,0.5455581183001327,416,0,3.543269230769231,6.126079182792706,1.0,-3.543269230769231,-1474.0,1474.0,0.0,416,0.8824794616516805,416,0,7.963147849641719,47.25141239780908,10.719789022057045,51.07924469607558,7.963147849641723,47.25141239780908,6.1937072703604406,42.00795965210425,-299.6622549927204
combined,ridge_global_v1,day_1_daily,1,daily,overall,all,1.2161405242813959,2.21234584750232,0.5849954419311899,-0.12136048343446519,-109.22443509101868,1871.0,1761.7755649089813,900,0.4789016591575387,900,0,1.307380953675343,2.449063305582832,0.6288844779838635,0.0747618975117802,67.28570776060224,1871.0,1938.2857077606025,900,0.502948529306015,900,0,2.078888888888889,4.567639798991744,1.0,-2.078888888888889,-1871.0,1871.0,0.0,900,0.652674962280891,900,0,6.978870935625123,41.500455806881014,9.66563247021407,51.56479177734919,6.978870935625116,41.50045580688101,4.78117913609509,26.624784642583798,-62.32932479454856
