fold,model_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series
combined,xgb_tune_02,days_1_7_aggregate,7,aggregate,overall,all,4.627373620920763,8.504697930566001,0.32119668817127,0.15689461534868718,141.20515381381847,12966.0,13107.205153813818,900,0.6905967075170977,900,0
combined,xgb_tune_02,days_1_7_daily,7,daily,overall,all,1.299756900081448,2.426841821132108,0.6315338940701158,0.022413516478383883,141.20515381381847,12966.0,13107.205153813818,6300,0.6454657826244704,900,0
combined,xgb_tune_02,days_1_30_aggregate,30,aggregate,overall,all,19.189727879867423,39.40157684624662,0.28821579513510137,3.7238012193870316,3351.4210974483285,59923.0,63274.42109744833,900,1.2992809299082873,900,0
combined,xgb_tune_02,days_1_30_daily,30,daily,overall,all,1.4983562300039404,2.698231801349338,0.6751267161207949,0.12412670731290106,3351.4210974483285,59923.0,63274.42109744833,27000,0.7511581000575511,900,0
validation_fold_1,xgb_tune_02,day_1_daily,1,daily,overall,all,1.2962265293424329,2.333303811880126,0.5030633360966751,-0.1026095478112499,-30.782864343374968,773.0,742.217135656625,300,0.5378724781290066,300,0
validation_fold_1,xgb_tune_02,days_1_7_aggregate,7,aggregate,overall,all,4.209172572412839,6.646699678430426,0.320984181932855,1.054375445265323,316.3126335795969,3934.0,4250.312633579597,300,0.6749751326901463,300,0
validation_fold_1,xgb_tune_02,days_1_7_daily,7,daily,overall,all,1.2434729792559076,2.032521833871697,0.6637756117024418,0.15062506360933184,316.3126335795969,3934.0,4250.312633579597,2100,0.6414169383366618,300,0
validation_fold_1,xgb_tune_02,days_1_30_aggregate,30,aggregate,overall,all,21.026704706717283,44.41325284343329,0.32522228356440425,5.174724379498511,1552.4173138495535,19396.0,20948.417313849553,300,1.4072515670293444,300,0
validation_fold_1,xgb_tune_02,days_1_30_daily,30,daily,overall,all,1.5146268662750306,2.6986071627889725,0.7028068569022106,0.1724908126499504,1552.4173138495535,19396.0,20948.417313849553,9000,0.7624692229183943,300,0
validation_fold_2,xgb_tune_02,day_1_daily,1,daily,overall,all,1.0499796607314298,1.8636308529509316,0.5965793526883124,-0.009825843799238404,-2.947753139771521,528.0,525.0522468602285,300,0.44488392892702355,300,0
